<ERRATA>

*The following pages reproduce the errata table printed at the end of the 1612 Telle edition. These tables record typographical errors introduced during the original typesetting and their corrections. They are retained here in the original Latin as a bibliographical record; translation into English would obscure their documentary function.*

Errata Benevolus Lector sic emendabit.

Folio | Linea | Erratum (Pro) | Correctum (Lege)
A.1. | 3. | Proptetera | Propterea.
 | 25 | concilium | consilium.
A.1. vers. | 20 | maximeque | maximique
A.2. vers. | 17 | puem | quem
A.4. | 7. a fin | istanter-exagitat | instar exagitet
A.5. vers. | 1. | finctos | tinctos
 | 25 | Ictus | Itus (i.e. jurisconsultus
A.8. | 8 | tractatus vicula | tractus vincula
A.8. vers. | 11 | libris | liberis
 | 18 | ore | re
B.1. | 1. | amor | amantior (sum
 | 12 | tamque insultum | tamquam insul-
 | 19 | jaccensu queque | accensu quaeque
B.1. vers. | 6. | coforaplixsitos | autokatakritos
 | 8. a fin. | valeant | valeat
B.2. | 7. | modestiam | immodestiam
 | 16 | qum | quum
B.3. | 14 | causaque huius-que | causam, hucusque
 | pennit. | vidio | video
B.4. verso. | 5. | non | nos
B.5. | 16 | effutiri | effutire
F.5. vers. [OCR: .7.] | 9. a fin | par | per
 | 4. a fin | habet | habent
B.7. verso. | 12 | nihilve | nihiine
C.1. | 1. | perditus | perditum
C.2. | 16 | declinantur | declinant
 | 5. a fin. | verri | Verri
C.2. verso. | 9. a fin | quo | aequo
C.3. | 13 | quia | quia [sic; distinction not preserved in transcription]
 | 23. | ritis | ritus.
B.5. | ult. | sustinebat | sustinebant.
C.6 verso. | 10. | fit | sit.
 | 12. | guialis | qualis.
 | 21. | magistris | Magistratus.
C.7 | 15. | veritates | veritas.
D.1. | 6. | efferveatur | efferveant.
D.1. verso | 7. a fin. | ovium | omnium.
D.2. | 16 | mabus | manibus
D.3. | 18. | falicem | Felicem
D.3. verso | 3 a fin. | conspectis | conspectus.
D.5. | 15. | mermes | inermes.
 | 19. | palina | palmae.
D.5. verso | 3. | libra | libera.
 | 5. | ipse-videtis | ipse-videris.
D.7. verso. | 8 | minus | munus.
 | 25. | bebeat | habeat.
E.2. verso. | ult. | fierres | fierres [sic; distinction not preserved in transcription]
E.3. | 11. | proservant | proterviant.
E.3. vers. | paenult. | Christum | Christus.
E.4. vers. | 2. | ejecet | ejecit.
